source,target,probability
cloud_cdn,google_cloud_dns,0.95
cloud_load_balancing,cloud_cdn,0.95
frontend_cloud_run,cloud_load_balancing,0.95
accounts_api_cloud_run,frontend_cloud_run,0.90
read_api_cloud_run,frontend_cloud_run,0.90
category_service_cloud_run,accounts_api_cloud_run,0.85
budget_service_cloud_run,accounts_api_cloud_run,0.85
transaction_extraction_service_cloud_run,accounts_api_cloud_run,0.80
notification_service_cloud_run,accounts_api_cloud_run,0.75
category_service_cloud_run,read_api_cloud_run,0.80
budget_service_cloud_run,read_api_cloud_run,0.80
accounts_api_cloud_run,cloud_sql,0.90
transaction_extraction_service_cloud_run,cloud_sql,0.85
read_api_cloud_run,cloud_sql_read_replica,0.90
accounts_api_cloud_run,cloud_memorystore,0.85
read_api_cloud_run,cloud_memorystore,0.85
notification_service_cloud_run,google_cloud_pub_sub,0.80
transaction_extraction_service_cloud_run,google_cloud_pub_sub,0.85
transaction_extraction_service_cloud_run,cloud_storage,0.85